TIME,ALTITUDE,QC,PS,TAT,SAT,MACH,CAS,Throttle Angle,N1,Mag Hdg,PITCH,ROLL,Aileron Pilot Force,Elevator Stick Force,Rudder Force,Boom AoA,Boom AoSS,Rudder Position,STAB Position,Elevator Position,Aileron Position,Weight,Nx,Nz
SEC,FT,mBAR,INHG,DEGC,DEGC,,KTS,DEG,PCT,DEG,DEG,DEG,LBS,LBS,LBS,INOP,INOP,DEG,DEG,DEG,DEG,LB,G,G
6.7,17506,23,15.25,-8,-11.25,0.25029,118.75,41.9,85.861,62.172,16.2,-5.73,-1.1,-8.4,-1.8,6.14,-1.25,0.42,18.1,-12.37,-2.1,11384,-0.024,0.698
6.8,17516,22.9375,15.24,-7.75,-11.25,0.24961,118.37,37.53,84.66,62.079,15.54,-5.73,-0.6,-9.2,-2.7,5.82,-1.23,0.42,18.1,-12.52,-2.1,11382,-0.245,0.706
6.9,17516,22.9375,15.24,-7.75,-11.25,0.24961,118.37,37.53,84.66,62.079,15.54,-5.73,1.1,-9.2,-3,5.5,-1.07,0.42,18.1,-12.79,-2.1,11382,0.738,2.03
7,17523,22.8125,15.24,-7.75,-11.25,0.24929,118.25,34.71,83.513,61.98,14.84,-5.75,1.7,-8.5,-2.7,4.99,-1.1,0.35,18.1,-12.99,-2.1,11380,0.105,0.561
7.1,17523,22.8125,15.24,-7.75,-11.25,0.24929,118.25,34.71,83.513,61.98,14.84,-5.75,4,-9.1,-2.6,5.19,-0.98,0.32,18.1,-13.15,-2,11380,-0.261,0.664
7.2,17532,22.6875,15.23,-7.75,-11,0.24861,117.87,32.97,82.429,61.881,14.2,-5.77,3.3,-8.9,-2.4,4.72,-0.92,0.26,18.1,-13.48,-1.5,11379,-0.2,0.669
7.3,17532,22.6875,15.23,-7.75,-11,0.24861,117.87,32.97,82.429,61.881,14.2,-5.77,3.9,-9.2,-2.7,4.37,-0.85,0.26,18.1,-13.81,-1.5,11379,-0.056,0.623
7.4,17541,22.625,15.23,-7.75,-11,0.24817,117.62,31.91,81.218,61.793,13.51,-5.83,3.6,-9.5,-2.8,4.32,-0.77,0.26,18.1,-14.15,-1.4,11379,0.365,0.954
7.5,17541,22.625,15.23,-7.75,-11,0.24817,117.62,31.91,81.218,61.793,13.51,-5.83,4.3,-9.5,-1.9,4.17,-0.73,0.26,18.1,-14.63,-1.4,11379,-0.316,0.512
7.6,17550,22.5312,15.22,-7.75,-11,0.24792,117.5,31.28,80.002,61.699,12.84,-5.89,5.1,-8.8,-2.6,3.74,-0.63,0.29,18.1,-14.93,-1.2,11379,0.541,0.566
7.7,17550,22.5312,15.22,-7.75,-11,0.24792,117.5,31.28,80.002,61.699,12.84,-5.89,5.5,-8.5,-3.7,3.67,-0.62,0.26,18.1,-15.02,-0.4,11379,0.234,0.602
7.8,17560,22.4687,15.22,-7.75,-11,0.24742,117.25,30.95,78.754,61.628,12.2,-5.79,4.8,-9.1,-4.1,3.62,-0.6,0.26,18.1,-15.28,0.7,11381,-0.218,0.584
7.9,17560,22.4687,15.22,-7.75,-11,0.24742,117.25,30.95,78.754,61.628,12.2,-5.79,4,-9.8,-3.3,3.29,-0.45,0.22,18.1,-15.51,0.8,11381,0.226,0.535
8,17567,22.375,15.21,-7.75,-11,0.24717,117.12,30.68,77.452,61.578,11.58,-5.56,3.3,-9.6,-2.5,3.15,-0.4,0.26,18.1,-15.92,0.8,11381,-0.039,0.822
8.1,17567,22.375,15.21,-7.75,-11,0.24717,117.12,30.68,77.452,61.578,11.58,-5.56,2.3,-9.5,-3.3,3.11,-0.35,0.22,18.1,-16.21,0.8,11381,0.062,0.744
8.2,17573,22.25,15.21,-7.75,-11,0.24654,116.81,30.52,76.101,61.551,11.04,-5.25,1.9,-10.6,-2.6,3,-0.32,0.19,18.1,-16.53,0.8,11382,0.274,0.737
8.3,17573,22.25,15.21,-7.75,-11,0.24654,116.81,30.52,76.101,61.551,11.04,-5.25,1.8,-11,-1.9,2.77,-0.32,0.19,18.1,-16.9,0.8,11382,0.055,0.708
8.4,17579,22.1562,15.2,-7.75,-11,0.24573,116.44,30.44,74.752,61.529,10.47,-4.85,2,-10.6,-1.7,2.85,-0.27,0.19,18.1,-16.91,0.8,11382,-0.109,0.721
8.5,17579,22.1562,15.2,-7.75,-11,0.24573,116.44,30.44,74.752,61.529,10.47,-4.85,1.7,-9.2,-1.7,2.82,-0.27,0.22,18.1,-16.86,0.8,11382,-0.2,0.61
8.6,17583,22,15.2,-7.75,-11,0.24523,116.19,30.44,73.367,61.507,9.95,-4.42,1.6,-8.5,-1.2,2.55,-0.22,0.26,18.1,-16.86,0.8,11384,0.095,0.747
8.7,17583,22,15.2,-7.75,-11,0.24523,116.19,30.44,73.367,61.507,9.95,-4.42,1.4,-8.2,-1.5,2.56,-0.25,0.26,18.1,-16.84,0.8,11384,0.138,0.548
8.8,17588,21.9375,15.2,-7.75,-11,0.24436,115.75,30.37,72.007,61.49,9.46,-3.95,1.7,-7.4,-1.6,2.73,-0.23,0.29,18.1,-16.84,0.8,11384,0.246,0.53
8.9,17588,21.9375,15.2,-7.75,-11,0.24436,115.75,30.37,72.007,61.49,9.46,-3.95,1,-6.5,-2.8,2.3,-0.18,0.26,18.1,-16.73,0.8,11384,0.017,0.574
9,17590,21.75,15.2,-7.75,-11,0.24392,115.56,30.37,70.698,61.485,9.03,-3.44,0,-4.9,-3.3,2.4,-0.22,0.29,18.1,-16.51,0.8,11384,-0.235,0.788
9.1,17590,21.75,15.2,-7.75,-11,0.24392,115.56,30.37,70.698,61.485,9.03,-3.44,-1.4,-2.3,-3.2,2.58,-0.13,0.22,18.1,-15.73,0.7,11384,0.463,0.682
9.2,17593,21.5937,15.19,-7.75,-10.75,0.24304,115.12,30.37,69.397,61.468,8.68,-3.03,-0.9,-1.7,-2.2,2.49,-0.02,0.22,18.1,-14.49,0.4,11384,0.246,0.543
9.3,17593,21.5937,15.19,-7.75,-10.75,0.24304,115.12,30.37,69.397,61.468,8.68,-3.03,-1.2,-3.2,-2.5,2.32,-0.08,0.22,18.1,-13.85,0.3,11384,-0.061,0.522
9.4,17595,21.5312,15.19,-7.75,-10.75,0.24217,114.69,30.37,68.187,61.463,8.38,-2.59,-1.1,-4.8,-2.8,2.7,-0.02,0.19,18.1,-14.11,0.2,11385,0.36,0.698
9.5,17595,21.5312,15.19,-7.75,-10.75,0.24217,114.69,30.37,68.187,61.463,8.38,-2.59,-1.9,-3.4,-2.6,2.67,-0.13,0.22,18.1,-14.14,0.2,11385,-0.102,0.362
9.6,17597,21.375,15.19,-7.75,-10.75,0.24167,114.5,30.37,67.011,61.452,8.13,-2.21,-2.3,-2.3,-1.9,2.53,-0.1,0.22,18.1,-13.9,-0.1,11385,-0.069,0.499
9.7,17597,21.375,15.19,-7.75,-10.75,0.24167,114.5,30.37,67.011,61.452,8.13,-2.21,-2.4,-2,-2.3,2.94,-0.05,0.26,18.1,-13.82,-0.6,11385,0.229,0.638
9.8,17598,21.2812,15.19,-7.5,-10.75,0.24086,114.06,30.37,65.882,61.452,7.92,-1.94,-1.7,-2.7,-3.5,3.06,0.02,0.22,18.1,-13.76,-0.7,11388,-0.074,0.473
9.9,17598,21.2812,15.19,-7.5,-10.75,0.24086,114.06,30.37,65.882,61.452,7.92,-1.94,-1.6,-2,-3.8,2.94,0.02,0.19,18.1,-13.78,-0.8,11388,0.12,0.457
10,17598,21.125,15.19,-7.5,-10.75,0.24042,113.87,30.37,64.837,61.457,7.71,-1.76,-1.5,-1.1,-3.2,3.15,0,0.09,18.1,-13.54,-0.8,11388,0.168,0.6
10.1,17598,21.125,15.19,-7.5,-10.75,0.24042,113.87,30.37,64.837,61.457,7.71,-1.76,-1.8,-0.2,-3.4,3.39,-0.03,0.13,18.1,-13.07,-0.8,11388,-0.14,0.814
10.2,17599,21,15.19,-7.5,-10.5,0.23967,113.5,30.37,63.823,61.463,7.54,-1.65,-2,0.2,-4.2,3.36,0,0.06,18.1,-12.2,-0.9,11390,-0.132,0.693
10.3,17599,21,15.19,-7.5,-10.5,0.23967,113.5,30.37,63.823,61.463,7.54,-1.65,-2.1,0.2,-2.8,3.43,0.03,0.06,18.1,-11.55,-1,11390,0.024,0.874
10.4,17599,20.9062,15.19,-7.5,-10.5,0.23886,113.12,30.37,62.823,61.485,7.37,-1.6,-1.4,0.5,-1.9,3.77,0.03,0.06,18.09,-11.48,-1,11385,-0.069,0.788
10.5,17599,20.9062,15.19,-7.5,-10.5,0.23886,113.12,30.37,62.823,61.485,7.37,-1.6,-0.4,1.9,-2.4,3.91,-0.03,0.13,18.1,-11.34,-1,11385,0.047,0.77
10.6,17598,20.7812,15.19,-7.5,-10.5,0.23848,112.94,30.37,61.889,61.507,7.2,-1.61,-0.8,1.2,-3.1,3.77,-0.03,0.13,18.1,-11.03,-1,11386,-0.039,0.6
10.7,17598,20.7812,15.19,-7.5,-10.5,0.23848,112.94,30.37,61.889,61.507,7.2,-1.61,-0.8,2.1,-2.9,4.11,0.07,0.09,18.1,-10.94,-1,11386,0.017,0.669
10.8,17597,20.7187,15.19,-7.25,-10.5,0.23779,112.56,30.37,61.001,61.545,7.03,-1.65,-0.8,2.4,-2.3,4.26,-0.05,0.13,18.09,-10.79,-1,11385,0.309,0.806
10.9,17597,20.7187,15.19,-7.25,-10.5,0.23779,112.56,30.37,61.001,61.545,7.03,-1.65,-0.4,2.8,-1.9,4.17,0.02,0.16,18.1,-10.68,-1,11385,0.009,0.801
11,17597,20.5937,15.19,-7.25,-10.5,0.23748,112.44,30.37,60.148,61.595,6.84,-1.71,0.1,3.9,-2.4,4.4,-0.08,0.19,18.09,-10.35,-1,11384,0.042,0.796
11.1,17597,20.5937,15.19,-7.25,-10.5,0.23748,112.44,30.37,60.148,61.595,6.84,-1.71,0,4.6,-2.6,4.58,0.02,0.19,18.09,-9.72,-1,11384,-0.145,1.062
11.2,17596,20.5,15.19,-7.25,-10.25,0.23686,112.12,30.37,59.319,61.639,6.67,-1.8,0.1,5.4,-1,4.54,-0.2,0.19,18.1,-9.18,-1,11382,-0.104,0.827
11.3,17596,20.5,15.19,-7.25,-10.25,0.23686,112.12,30.37,59.319,61.639,6.67,-1.8,0.7,6.1,-0.3,4.61,-0.18,0.16,18.1,-8.85,-1,11382,0.244,0.941
11.4,17595,20.4687,15.19,-7.25,-10.25,0.23648,111.87,30.37,58.539,61.694,6.51,-1.88,1.1,5.4,-1.1,4.84,-0.27,0.16,18.1,-8.71,-1,11380,-0.525,0.76
11.5,17595,20.4687,15.19,-7.25,-10.25,0.23648,111.87,30.37,58.539,61.694,6.51,-1.88,1.4,6.7,-1.4,4.96,-0.13,0.19,18.1,-8.5,-1,11380,-1.458,1.231
11.6,17595,20.375,15.19,-7.25,-10.25,0.23629,111.81,30.37,57.8,61.754,6.38,-1.86,0.7,7.1,-1.1,4.75,-0.25,0.16,18.1,-7.99,-1,11377,0.63,0.55
11.7,17595,20.375,15.19,-7.25,-10.25,0.23629,111.81,30.37,57.8,61.754,6.38,-1.86,1.1,7.2,-1.8,4.99,-0.25,0.22,18.1,-7.87,-1,11377,-0.049,0.77
11.8,17593,20.3437,15.19,-7,-10.25,0.23586,111.62,30.37,57.085,61.809,6.26,-1.97,1,6.8,-2.4,5.27,-0.42,0.22,18.1,-7.81,-1,11374,0.388,0.734
11.9,17593,20.3437,15.19,-7,-10.25,0.23586,111.62,30.37,57.085,61.809,6.26,-1.97,0.3,7,-3.1,5.28,-0.43,0.26,18.1,-7.8,-1,11374,0.115,0.711
12,17592,20.2812,15.2,-7,-10.25,0.23567,111.5,30.43,56.357,61.87,6.15,-1.93,0.3,7.1,-1.9,5.54,-0.5,0.26,18.09,-7.75,-1,11373,-0.036,0.628
